Trial,Ecotype,Ntot,Nobs,Ncens,ycens
Test1LL,Col,18,11,7,14
Test1LL,XI-K,15,7,8,14
Test1LL,XI-2,16,6,10,14
Test1LL,VIII-A,13,7,6,14
Test1LL,VIII-B,16,9,7,14
Test1LL,XI-B,16,10,6,14
Test1LL,XI-A,14,12,2,14
Test2LL,Col,14,13,1,13
Test2LL,XI-K,9,6,3,13
Test2LL,XI-2,8,6,2,13
Test2LL,VIII-A,8,5,3,13
Test2LL,VIII-B,10,7,3,13
Test2LL,XI-B,10,6,4,13
Test2LL,XI-A,10,5,5,13
Test3LL,Col,13,11,2,12
Test3LL,XI-K,14,12,2,12
Test3LL,XI-2,14,6,8,12
Test3LL,VIII-A,14,12,2,12
Test3LL,VIII-B,12,9,3,12
Test3LL,XI-B,12,9,3,12
Test3LL,XI-A,16,14,2,12
Test4LL,Col,12,12,0,11
Test4LL,XI-K,16,14,2,11
Test4LL,XI-2,16,16,0,11
Test4LL,VIII-A,12,12,0,11
Test4LL,VIII-B,11,10,1,11
Test4LL,XI-B,12,12,0,11
Test4LL,XI-A,11,6,5,11
